title,creator,collection,objectid,filename,youtubeid,imagelink,publisher/publication,place,date,description,subject,,physical location,identifier,formatoriginal,type,format,language,rights,rightsstatement
"Looking Back at Our Town: a Photographic Portrait of Wallowa, Oregon",edited by Mike Highberger,Wallowa County History Collection,Looking-Back-at-Our-Town-a-Photographic-Portrait-of-Wallowa-Oregon,,,,Bear Creek Press,"Joseph, OR",2001,A project of the Wallowa History Center,,,,Looking-Back-at-Our-Town-a-Photographic-Portrait-of-Wallowa-Oregon,Books,record,listing,eng,,
Memoirs of Alexander B. and Sarah Jane Findley Books 1 & 2,H.R. Findley,Wallowa County History Collection,Memoirs-of-Alexander-B-and-Sarah-Jane-Findley-Books-1-2,,,,self-published,"Joseph, OR",1962,"reprinted, August 1995; copy for Josephy Library, January 2017",,,,Memoirs-of-Alexander-B-and-Sarah-Jane-Findley-Books-1-2,Books,record,listing,eng,,
My Days in Northeast Oregon,a Memoir of Wagon Trains & Pack Strings in the 1890’s,Wallowa County History Collection,My-Days-in-Northeast-Oregon,,,,Henry C. Brown,Bear Creek Press,2002,,,,,My-Days-in-Northeast-Oregon,Books,record,listing,eng,,
My Eastern Oregon,Dr. J.R. Groupe,Wallowa County History Collection,My-Eastern-Oregon,,,,Lariat Trail Publishing,"Joseph, OR",2013,,,,,My-Eastern-Oregon,Books,record,listing,eng,,
Nez Perce Country,Alvin M. Josephy Jr.,Wallowa County History Collection,Nez-Perce-Country,,,,(forward by Jeremy FiveCrows),University of Nebraska Press,2007,,,,,Nez-Perce-Country,Books,record,listing,eng,,
"Nez Perce Country, A Handbook for Nez Perce National Historical Park","produced by the Division of Publications National Park ""Service",Wallowa County History Collection,Nez-Perce-Country-A-Handbook-for-Nez-Perce-National-Historical-Park,,,,"US"" Department of the Interior",Washington D.C.,1983,,,,,Nez-Perce-Country-A-Handbook-for-Nez-Perce-National-Historical-Park,Books,record,listing,eng,,
Of Men and Mountains,William O. Douglas,Wallowa County History Collection,Of-Men-and-Mountains,,,,"Harper & Brothers ""Publishers","NY""",1950,,,,,Of-Men-and-Mountains,Books,record,listing,eng,,
The Old and the New,History of the Post Offices of Wallowa County,Wallowa County History Collection,The-Old-and-the-New,,,,Irene Barklow,self-published,1982,,,,,The-Old-and-the-New,Books,record,listing,eng,,
"Pioneering in the Wallowas, Four Frontier Tales",Lloyd W. Coffman,Wallowa County History Collection,Pioneering-in-the-Wallowas-Four-Frontier-Tales,,,,High Mountain Graphics,"Enterprise, OR",1987,,,,,Pioneering-in-the-Wallowas-Four-Frontier-Tales,Books,record,listing,eng,,
"School Days in the Wallowas: a history of the ninety-one schools and communities of Wallowa Co., Oregon",Irene Locke Barklow,Wallowa County History Collection,School-Days-in-the-Wallowas-a-history-of-the-ninety-one-schools-and-communities-of-Wallowa-Co-Oregon,,,,Enchantments Publishing of Oregon,"Enterprise, OR",1992,,,,,School-Days-in-the-Wallowas-a-history-of-the-ninety-one-schools-and-communities-of-Wallowa-Co-Oregon,Books,record,listing,eng,,
Seasons Silently Waiting,a memoir,Wallowa County History Collection,Seasons-Silently-Waiting,,,,Eileen Mayer Thiel,self-published,2016,,,,,Seasons-Silently-Waiting,Books,record,listing,eng,,
The Story of Hell’s Canyon,Gerald J. Tucker,Wallowa County History Collection,The-Story-of-Hell-s-Canyon,,,,self-published,"Joseph, OR",1977,,,,,The-Story-of-Hell-s-Canyon,Books,record,listing,eng,,
The Story of Wallowa Lake,Grace Bartlett,Wallowa County History Collection,The-Story-of-Wallowa-Lake,,,,self-published,"Joseph, OR",1967,,,,,The-Story-of-Wallowa-Lake,Books,record,listing,eng,,
This Valley (Wallowa Valley),Lola Hopkins,Wallowa County History Collection,This-Valley-Wallowa-Valley-,,,,Quality Paperbacks,"Boring, Oregon",1978,,,,,This-Valley-Wallowa-Valley-,Books,record,listing,eng,,
"300 Miles Awheel, the story of an 1898 bicycle ride across northeast Oregon",Homer Clark,Wallowa County History Collection,300-Miles-Awheel-the-story-of-an-1898-bicycle-ride-across-northeast-Oregon,,,,Bear Creek Press,"Wallowa, OR",1898,(a project of the Wallowa History Center),,,,300-Miles-Awheel-the-story-of-an-1898-bicycle-ride-across-northeast-Oregon,Books,record,listing,eng,,
Topping Out: (a teacher of by-gone days recalls life in the great canyons of the Snake and Salmon Rivers),Katherine Wonn Harris,Wallowa County History Collection,Topping-Out-a-teacher-of-by-gone-days-recalls-life-in-the-great-canyons-of-the-Snake-and-Salmon-Rivers-,,,,self-published,"Joseph, OR",1956;1972,"epilogue, October 15, 1972",,,,Topping-Out-a-teacher-of-by-gone-days-recalls-life-in-the-great-canyons-of-the-Snake-and-Salmon-Rivers-,Books,record,listing,eng,,
The Town That Was Maxville: the Story of a Vanished Oregon Logging Town and the People Who Called It Home,Mark Highberger,Wallowa County History Collection,The-Town-That-Was-Maxville-the-Story-of-a-Vanished-Oregon-Logging-Town-and-the-People-Who-Called-It-Home,,,,Bear Creek Press,"Wallowa, OR",2001,,,,,The-Town-That-Was-Maxville-the-Story-of-a-Vanished-Oregon-Logging-Town-and-the-People-Who-Called-It-Home,Books,record,listing,eng,,
"True Unity, Willing Communication Between Horse and Human, Tom Dorrance Talks About Horses",edited by Milly Hunt Porter,Wallowa County History Collection,True-Unity-Willing-Communication-Between-Horse-and-Human-Tom-Dorrance-Talks-About-Horses,,,,Give-It-A-Go Enterprises,"Tuscarora, NV",1987,,,,,True-Unity-Willing-Communication-Between-Horse-and-Human-Tom-Dorrance-Talks-About-Horses,Books,record,listing,eng,,
"Union Centennial Album, City of Victorian Heritage","writer, Rick Steber; photographer-designer, Jerry Gildemeister",Wallowa County History Collection,Union-Centennial-Album-City-of-Victorian-Heritage,,,,Baker Printing and Lithography,"Union, OR",1978,,,,,Union-Centennial-Album-City-of-Victorian-Heritage,Books,record,listing,eng,,
"Wallowa County, Oregon, A Capsule History",Lloyd W. Coffman,Wallowa County History Collection,Wallowa-County-Oregon-A-Capsule-History,,,,Wallowa County Centennial Press,"Enterprise, OR",1987,,,,,Wallowa-County-Oregon-A-Capsule-History,Books,record,listing,eng,,
The Wallowa Country 1867-1877,Grace Bartlett,Wallowa County History Collection,The-Wallowa-Country-1867-1877,,,,self-published,"Joseph, OR",1976,,,,,The-Wallowa-Country-1867-1877,Books,record,listing,eng,,
"Wallowa, the Land of Winding Waters",Grace Bartlett,Wallowa County History Collection,Wallowa-the-Land-of-Winding-Waters,,,,self-published,"Joseph, OR",1967,,,,,Wallowa-the-Land-of-Winding-Waters,Books,record,listing,eng,,
The Wallowas: Coming of Age in the Wilderness,William Ashworth,Wallowa County History Collection,The-Wallowas-Coming-of-Age-in-the-Wilderness,,,,"Hawthorne Books, Inc.",NY,1978,,,,,The-Wallowas-Coming-of-Age-in-the-Wilderness,Books,record,listing,eng,,
Wild Horse Rider,Rick Steber,Wallowa County History Collection,Wild-Horse-Rider,,,,Maverick Publicans,"Bend, OR",1984,,,,,Wild-Horse-Rider,Books,record,listing,eng,,
Charolais-Wellamotkin Auto Tour,,Wallowa County History Collection,Charolais-Wellamotkin-Auto-Tour,,,,Wallowa Valley Ranger District,Oregon,1981,early 1980’s,,,,Charolais-Wellamotkin-Auto-Tour,Books,record,listing,eng,,
Crossing the Plains,W.G. Beith,Wallowa County History Collection,Crossing-the-Plains,,,,Enterprise Record,"Enterprise, OR",1931-01-01,,,,,Crossing-the-Plains,Books,record,listing,eng,,
The First Winter: a Homesteader’s Memories of the 1880’s,Morton Carroll Wolverton,Wallowa County History Collection,The-First-Winter-a-Homesteader-s-Memories-of-the-1880-s,,,,Bear Creek Press,Oregon,2003-07-01,,,,,The-First-Winter-a-Homesteader-s-Memories-of-the-1880-s,Books,record,listing,eng,,
"It’s the Dash – Antarctica, South Georgia & the Falkland Islands",Jean A. Falbo,Wallowa County History Collection,It-s-the-Dash-Antarctica-South-Georgia-the-Falkland-Islands,,,,,,2008,,,,,It-s-the-Dash-Antarctica-South-Georgia-the-Falkland-Islands,Books,record,listing,eng,,
Oregon’s Wallowa Valley,,Wallowa County History Collection,Oregon-s-Wallowa-Valley,,,,,,1997,(three copies),,,,Oregon-s-Wallowa-Valley,Books,record,listing,eng,,
Pioneering in the Wallowas: Four Frontier Tales,Lloyd W. Coffman,Wallowa County History Collection,Pioneering-in-the-Wallowas-Four-Frontier-Tales,,,,High Mt. Graphics,,1987,,,,,Pioneering-in-the-Wallowas-Four-Frontier-Tales,Books,record,listing,eng,,
Snake River Hills: a dedication to my mother,Lenora Barr Torgenson,Wallowa County History Collection,Snake-River-Hills-a-dedication-to-my-mother,,,,,,1975,,,,,Snake-River-Hills-a-dedication-to-my-mother,Books,record,listing,eng,,
Steam Boatin’ on the Snake,US Forest Service,Wallowa County History Collection,Steam-Boatin-on-the-Snake,,,,US Forest Service,"Baker City, OR",,,,,,Steam-Boatin-on-the-Snake,Books,record,listing,eng,,
This is Your Guide to Wallowa County: the Land of Winding Waters,,Wallowa County History Collection,This-is-Your-Guide-to-Wallowa-County-the-Land-of-Winding-Waters,,,,,,1989,,,,,This-is-Your-Guide-to-Wallowa-County-the-Land-of-Winding-Waters,Books,record,listing,eng,,
A Two-Weeks’ Trip in the Wallowa Mountains with the Astoria Angoras,August Hildebrand,Wallowa County History Collection,A-Two-Weeks-Trip-in-the-Wallowa-Mountains-with-the-Astoria-Angoras,,,,,"Astoria, OR",,,,,,A-Two-Weeks-Trip-in-the-Wallowa-Mountains-with-the-Astoria-Angoras,Books,record,listing,eng,,
Visit Oregon’s Hidden Paradise: Wallowa County,Wallowa National Forest Service,Wallowa County History Collection,Visit-Oregon-s-Hidden-Paradise-Wallowa-County,,,,,"Enterprise, OR",,,,,,Visit-Oregon-s-Hidden-Paradise-Wallowa-County,Books,record,listing,eng,,
Wallowa County Day Camp (CJSS),"Mrs. Alvin M. Josephy, Jr. (Betty)",Wallowa County History Collection,Wallowa-County-Day-Camp-CJSS-,,,,Missionary District of Eastern Oregon,,1962,,,,,Wallowa-County-Day-Camp-CJSS-,Books,record,listing,eng,,
"Wallowa County: Land of Winding Waters, The Switzerland of America",,Wallowa County History Collection,Wallowa-County-Land-of-Winding-Waters-The-Switzerland-of-America,,,,Boise Cascade Corp.,,," Oregon-Idaho Region, Joseph Plant",,,,Wallowa-County-Land-of-Winding-Waters-The-Switzerland-of-America,Books,record,listing,eng,,
Wallowa County Oregon: Where to Go and What to See,,Wallowa County History Collection,Wallowa-County-Oregon-Where-to-Go-and-What-to-See,,,,,,1925,circa 20’s or 30’s,,,,Wallowa-County-Oregon-Where-to-Go-and-What-to-See,Books,record,listing,eng,,
Wallowa Valley Barn Tour,,Wallowa County History Collection,Wallowa-Valley-Barn-Tour,,,,Enterprise Hometown Improvement Group,"Enterprise, OR",2000,,,,,Wallowa-Valley-Barn-Tour,Books,record,listing,eng,,
The American Indian and The Bureau of Indian Affairs - 1969,Alvin M. Josephy Jr. ,Manuscripts Collection,The-American-Indian-and-The-Bureau-of-Indian-Affairs-1969,https://library.josephy.org/wp-content/uploads/2021/08/JosephyWhitePaper.pdf,,https://library.josephy.org/wp-content/uploads/2021/08/Seal_of_the_United_States_Bureau_of_Indian_Affairs.svg_.png,,,1969,"A Study: With Recommendations. An overview of Federal-Indian relations is presented, with the role of the Bureau of Indian Affairs (BIA) being examined in terms of management of these relations. The objectives of this study were to provide understanding of the fears the American Indians have regarding termination motives attached to present Federal programs for Indians and also to propose recommendations reflecting Indian thinking.","Josephy, White Paper, Termination, Termination policy, Bureau of Indian Affairs, Nixon",,,The-American-Indian-and-The-Bureau-of-Indian-Affairs-1969,manuscripts,url,listing,eng,,
Nez Perce Sketches,"Bartlett, Grace",Manuscripts Collection,Nez-Perce-Sketches,,,,,,1975,Life of the western side of the Nez Perce reservation circa 1900 as seen by H.E. Bartlett,Chief Joseph; indian-white relationshipships; Bannock tribe; Paiute tribe; Nez Perce War and Aftermath; Chinese massacre; Wallowa County; cultural practices; Food; Horses,,Nez Perce Box 1,Nez-Perce-Sketches,manuscripts,record,listing,eng,,
From the Wallowas,"Bartlett, Grace",Manuscripts Collection,From-the-Wallowas,,,,,,1991-12-01,"Historical essays arranged by:  Indians, Settlers, Places, & People and Events",Treaties; Wallowa County; Chief Joseph; Old Chief Joseph; indian-white relationships; Legends; Salmon; Dams,,Credenza,From-the-Wallowas,manuscripts,record,listing,eng,,
Historical Sketches of the Eagle Cap Wilderness,"Broadwell, Jo",Manuscripts Collection,Historical-Sketches-of-the-Eagle-Cap-Wilderness,,,,,,1982-06-01,Stories of the Eagle Cap Wilderness,Nez Perce Tribe; Snake River/Hells Canyon; Newz perce language;,,Nez Perce Box 1,Historical-Sketches-of-the-Eagle-Cap-Wilderness,manuscripts,record,listing,eng,,
"Nez Perce Country, National Historic Sites, Idaho, a Feasibility Report","Burroughs, Daniel; Kuehl, Alfred; Hussey, John; & Thompson, Erwin",Manuscripts Collection,Nez-Perce-Country-National-Historic-Sites-Idaho-a-Feasibility-Report,,,,,,1963-10-01,Feasibility report for the proposed Nez Perce Country National Historic Sites project,Lewis and Clark; indian-white relationships; Religious practices; Missionaries; Treaties; Nez Perce War; Nez Perce Homeland; Maps;,,Credenza,Nez-Perce-Country-National-Historic-Sites-Idaho-a-Feasibility-Report,manuscripts,record,listing,eng,,
"Nez Perce Country, National Historic Sites, Idaho, a Feasibility Report","Burroughs, Daniel; Kuehl, Alfred; Hussey, John; & Thompson, Erwin",Manuscripts Collection,Nez-Perce-Country-National-Historic-Sites-Idaho-a-Feasibility-Report,,,,,,1964-06-01,"Feasibility report for the proposed Nez Perce Country National Historic Sites project, corrected copy",Lewis and Clark; indian-white relationships; Religious practices; Missionaries; Treaties; Nez Perce War; Nez Perce Homeland; Maps;,,Credenza,Nez-Perce-Country-National-Historic-Sites-Idaho-a-Feasibility-Report,manuscripts,record,listing,eng,,
,,Manuscripts Collection,,,,,,,,,,,,,manuscripts,record,listing,eng,,
"This Otherwise Miserable Land, Foreword  through Chapter XX","Christie, James B",Manuscripts Collection,This-Otherwise-Miserable-Land-Foreword-through-Chapter-XX,,,,,,,History of Baja California,,,Credenza,This-Otherwise-Miserable-Land-Foreword-through-Chapter-XX,manuscripts,record,listing,eng,,
"This Otherwise Miserable Land, Chapters XXI-XXVIII","Christie, James B",Manuscripts Collection,This-Otherwise-Miserable-Land-Chapters-XXI-XXVIII,,,,,,,History of Baja California,,,Credenza,This-Otherwise-Miserable-Land-Chapters-XXI-XXVIII,manuscripts,record,listing,eng,,
Wallowa:  Land of Winding Waters,"Decker, Peter",Manuscripts Collection,Wallowa-Land-of-Winding-Waters,,,,,,1999-06-01,"Brief reflection on Wallowa county, its geography & Nez Perce history",Wallowa County; Old Chief Joseph;,,Credenza,Wallowa-Land-of-Winding-Waters,manuscripts,record,listing,eng,,
The Bly (and Edgmand) Ranch:  A Pictorial History,"Edgmand, Mike",Manuscripts Collection,The-Bly-and-Edgmand-Ranch-A-Pictorial-History,,,,,,2005-11-11,"History of the Bly and later Bly and Edgmand Ranch and the families, who homesteaded on Joseph Creek, 1891-1959",Maps; indian-white relationships; Settlers; Chief Joseph; Wallowa County; Trade; Nez Perce Tribe; Snake River/Hells Canyon,,Credenza,The-Bly-and-Edgmand-Ranch-A-Pictorial-History,manuscripts,record,listing,eng,,
Ranch History: An Addendum,"Edgmand, Mike",Manuscripts Collection,Ranch-History-An-Addendum,,,,,,2006-07-04,"Addendum to The Bly (and Edgmand) Ranch on Joseph Creek, A Pictorial History.  1891-1959",Settlers; Wallowa County,,Credenza,Ranch-History-An-Addendum,manuscripts,record,listing,eng,,
Traveling to Lower Joseph Creek:  A Pictorial History,"Edgmand, Mike",Manuscripts Collection,Traveling-to-Lower-Joseph-Creek-A-Pictorial-History,,,,,,,"A pictorial history of  methods of travel for the remote homesteads on Joseph Creek and NE Wallowa County, including boats, roads, baskets on wires over rivers.  The mportance of Rogersburg, at the confluence of the Snake and Grande Ronde Rivers, is identified.",Settlers; Wallowa County,,Credenza,Traveling-to-Lower-Joseph-Creek-A-Pictorial-History,manuscripts,record,listing,eng,,
Main Poc:  Potawatomi Wabeno,"Edmundson, Dave",Manuscripts Collection,Main-Poc-Potawatomi-Wabeno,,,,,,1983-10-06,History of this influential spiritual leader preceeding the War of 1812,Other Indian Tribes,,Credenza,Main-Poc-Potawatomi-Wabeno,manuscripts,record,listing,eng,,
Chief Joseph and the Red Napoleon Myth,"Evans, Steven Ross",Manuscripts Collection,Chief-Joseph-and-the-Red-Napoleon-Myth,,,,,,1969-01-01,"Traces the roots of the myth that every tactical & strategic move by the Nez Perce in their trek was a product of Chief Joseph’s military genius.  Thesis for Masters of Arts, Washington State University",Chief Joseph; Nez Perce War and Aftermath; missionaries; horses; Lucullus McWhorter,,Nez Perce Box 1,Chief-Joseph-and-the-Red-Napoleon-Myth,manuscripts,record,listing,eng,,
"Memoirs of Alexander B. and Sarah Jane Findley, Books 1 and 2",H. R Findley,Manuscripts Collection,Memoirs-of-Alexander-B-and-Sarah-Jane-Findley-Books-1-and-2,,,,,,1905-05-15," Volme or Book 1 is a history of the Findlay family from their origins in Scotland to their homes in Pennsylvania, Illinois and Oregon's Wallowa Valley.  Book two is the story of their settlement in Wallowa County",Chief Joseph; indian-white relationships; Bannock tribe; Paiute tribe; Nez Perce War and Aftermath; Chinese massacre; Wallowa County; cultural practices; Food; Horses,,Credenza  - Laying down behind the file boxes,Memoirs-of-Alexander-B-and-Sarah-Jane-Findley-Books-1-and-2,manuscripts,record,listing,eng,,
